brand,color,current_price,namex,original_price,stock_status,url
Nokia,Charcoal,1130,Nokia 110 TA-1567 - Charcoal,1400,In stock,https://dream2000.com/en/nokia-110-ta-1567-charcoal.html
Honor,Cyan Lake,5150,"Mobile Honor X5 Plus 4GB RAM, 64 GB - Cyan Lake",6100,In stock,https://dream2000.com/en/mobile-honor-x5-plus-4gb-ram-64-gb-cyan-lake.html
Honor,Midnight Black,5150,"Honor X5 Plus 4GB RAM, 64 GB - Midnight Black",6100,In stock,https://dream2000.com/en/honor-x5-plus-4gb-ram-64-gb-midnight-black.html
Vivo,Black,8390,"Mobile Vivo Y27S 8GB Ram, 128GB - Burgundy Black",9900,In stock,https://dream2000.com/en/mobile-vivo-y27s-8gb-ram-128gb-burgundy-black.html
Vivo,Green,8390,"Mobile Vivo Y27S 8GB Ram, 128GB - Garden Green",9900,In stock,https://dream2000.com/en/mobile-vivo-y27s-8gb-ram-128gb-garden-green.html
Xiaomi,Gray,7700,"Mobile Xiaomi Redmi Note 12 6GB Ram, 128GB - Onyx Gray",9100,In stock,https://dream2000.com/en/mobile-xiaomi-redmi-note-12-6gb-ram-128gb-onyx-gray.html
Honor,Silver,6555,"Honor X7A 4GB Ram, 128GB - Titanium Silver",7700,In stock,https://dream2000.com/en/honor-x7a-4gb-ram-128gb-titanium-silver.html
Honor,Blue,6555,"Honor X7A 4GB Ram, 128GB - Ocean Blue",7700,In stock,https://dream2000.com/en/honor-x7a-4gb-ram-128gb-ocean-blue.html
Honor,Black,6555,"Honor X7A 4GB Ram, 128GB - Midnight Black",7700,In stock,https://dream2000.com/en/honor-x7a-4gb-ram-128gb-midnight-black.html
Oppo,Black,5799,"Oppo A18 4GB RAM, 128GB - Glowing Black",6800,In stock,https://dream2000.com/en/oppo-a18-4gb-ram-128gb-glowing-black.html
Realme,Green,5440,"Realme C51 4GB RAM, 128GB - Mint Green",6400,In stock,https://dream2000.com/en/realme-c51-4gb-ram-128gb-mint-green.html
Oppo,Black,5880,"OPPO A38 4GB RAM, 128GB - Glowing Black",6900,In stock,https://dream2000.com/en/oppo-a38-4gb-ram-128gb-glowing-black.html
Realme,Black,6299,"Realme C53 6GB Ram, 128GB - Mighty Black",7400,In stock,https://dream2000.com/en/realme-c53-6gb-ram-128gb-mighty-black.html
Honor,Silver,8999,"Honor X8A 8GB Ram, 128GB - Titanium Silver",10600,In stock,https://dream2000.com/en/honor-x8a-8gb-ram-128gb-titanium-silver.html
Honor,Cyan,8999,"Honor X8A 8GB Ram, 128GB - Cyan Lake",10600,In stock,https://dream2000.com/en/honor-x8a-8gb-ram-128gb-cyan-lake.html
Honor,Black,8999,"Honor X8A 8GB Ram, 128GB - Midnight Black",10600,In stock,https://dream2000.com/en/honor-x8a-8gb-ram-128gb-midnight-black.html
Infinix,Black,5555,"Infinix Hot 30i X669C 8GB Ram, 128GB - Mirror Black",6500,In stock,https://dream2000.com/en/infinix-hot-30i-x669c-8gb-ram-128gb-mirror-black.html
Xiaomi,Blue,7399,"Xiaomi Redmi 12 8GB Ram, 128GB - Sky Blue",8700,In stock,https://dream2000.com/en/redmi-12-8gb-ram-128gb-sky-blue.html
Xiaomi,Black,7399,"Xiaomi Redmi 12 8GB Ram, 128GB - Midnight Black",8700,In stock,https://dream2000.com/en/redmi-12-8gb-ram-128gb-midnight-black.html
Vivo,Green,6990,"Vivo Y22 4GB Ram, 128GB - Metaverse Green",8200,In stock,https://dream2000.com/en/vivo-y22-4gb-ram-128gb-metaverse-green.html
Samsung,Black,4888,"Mobile Samsung A04S 3GB Ram, 32GB - Black",5800,In stock,https://dream2000.com/en/mobile-samsung-a04s-3gb-ram-32gb-black.html
Apple,Black,26660,"Apple iPhone 12 4GB Ram, 128GB - Black",31200,In stock,https://dream2000.com/en/apple-iphone-12-4gb-ram-128gb-black.html
Samsung,Green,5858,"Samsung A14 4GB Ram, 64GB - Light Green",6900,In stock,https://dream2000.com/en/samsung-a14-4gb-ram-64gb-light-green.html
Samsung,Black,5858,"Mobile Samsung A14 4GB Ram, 64GB - Black",6900,In stock,https://dream2000.com/en/mobile-samsung-a14-4gb-ram-64gb-black.html
